 ID : djfd          Name : fdkfjd          Branch : jfdkf
 ID : 19ucs219          Name : Pushkar          Branch : CSE
 ID : 19ucs218          Name : shanu          Branch : CSE
 ID : 19ucs219          Name : Pushkar          Branch : CSE
 ID : 19ucs217          Name : Tillu          Branch : CSE
 ID : 19ucs218          Name : shanu          Branch : CSE
 ID : 19ucs219          Name : Pushkar          Branch : CSE
 ID : 19ucs216          Name : Lallu          Branch : ECE
 ID : 19ucs217          Name : Tillu          Branch : CSE
 ID : 19ucs218          Name : shanu          Branch : CSE
 ID : 19ucs219          Name : Pushkar          Branch : CSE
 ID : 19ucs210          Name : jfkdjfd          Branch : ECE
 ID : 19ucs216          Name : Lallu          Branch : ECE
 ID : 19ucs217          Name : Tillu          Branch : CSE
 ID : 19ucs218          Name : shanu          Branch : CSE
 ID : 19ucs219          Name : Pushkar          Branch : CSE
 ID : 19ucs211          Name : Ranu          Branch : CSE
 ID : 19ucs210          Name : jfkdjfd          Branch : ECE
 ID : 19ucs216          Name : Lallu          Branch : ECE
 ID : 19ucs217          Name : Tillu          Branch : CSE
 ID : 19ucs218          Name : shanu          Branch : CSE
 ID : 19ucs219          Name : Pushkar          Branch : CSE
 ID : 19ucs213          Name : Shanu          Branch : ECS
 ID : 19ucs211          Name : Ranu          Branch : CSE
 ID : 19ucs210          Name : jfkdjfd          Branch : ECE
 ID : 19ucs216          Name : Lallu          Branch : ECE
 ID : 19ucs217          Name : Tillu          Branch : CSE
 ID : 19ucs218          Name : shanu          Branch : CSE
 ID : 19ucs219          Name : Pushkar          Branch : CSE
 ID : 19ucs213          Name : shanu          Branch : ECE
 ID : 19ucs211          Name : Ranu          Branch : CSE
 ID : 19ucs210          Name : jfkdjfd          Branch : ECE
 ID : 19ucs216          Name : Lallu          Branch : ECE
 ID : 19ucs217          Name : Tillu          Branch : CSE
 ID : 19ucs218          Name : shanu          Branch : CSE
 ID : 19ucs219          Name : Pushkar          Branch : CSE
 ID : 19ucs213          Name : shanu          Branch : ECE
 ID : 19ucs210          Name : jfkdjfd          Branch : ECE
 ID : 19ucs216          Name : Lallu          Branch : ECE
 ID : 19ucs217          Name : Tillu          Branch : CSE
 ID : 19ucs218          Name : shanu          Branch : CSE
 ID : 19ucs219          Name : Pushkar          Branch : CSE
